date,CSI
2004-01-31,1.0
2004-02-29,1.0
2004-03-31,1.0
2004-04-30,0.875
2004-05-31,0.875
2004-06-30,1.0
2004-07-31,1.0
2004-08-31,0.875
2004-09-30,1.0
2004-10-31,1.0
2004-11-30,1.0
2004-12-31,0.9166666666666666
2005-01-31,0.6666666666666666
2005-02-28,1.0
2005-03-31,0.6666666666666666
2005-04-30,0.6666666666666666
2005-05-31,1.0
2005-06-30,1.0
2005-07-31,0.5833333333333334
2005-08-31,0.6666666666666666
2005-09-30,0.8666666666666667
2005-10-31,0.8666666666666667
2005-11-30,0.8666666666666667
2005-12-31,0.85
2006-01-31,0.3333333333333333
2006-02-28,0.7999999999999999
2006-03-31,0.7999999999999999
2006-04-30,0.65
2006-05-31,0.65
2006-06-30,0.55
2006-07-31,0.55
2006-08-31,0.6000000000000001
2006-09-30,0.45
2006-10-31,0.45
2006-11-30,0.45
2006-12-31,0.4
2007-01-31,0.45
2007-02-28,0.4
2007-03-31,0.4083333333333333
2007-04-30,0.45833333333333337
2007-05-31,0.33333333333333337
2007-06-30,0.30208333333333337
2007-07-31,0.26041666666666663
2007-08-31,0.32291666666666663
2007-09-30,0.30208333333333337
2007-10-31,0.38541666666666663
2007-11-30,0.33333333333333337
2007-12-31,0.30208333333333337
2008-01-31,0.27083333333333337
2008-02-29,0.30208333333333337
2008-03-31,0.30208333333333337
2008-04-30,0.30208333333333337
2008-05-31,0.30208333333333337
2008-06-30,0.30208333333333337
2008-07-31,0.26041666666666663
2008-08-31,0.26041666666666663
2008-09-30,0.27083333333333337
2008-10-31,0.30208333333333337
2008-11-30,0.33333333333333337
2008-12-31,0.26041666666666663
2009-01-31,0.30208333333333337
2009-02-28,0.4416666666666667
2009-03-31,0.2166666666666667
2009-04-30,0.20833333333333331
2009-05-31,0.2666666666666667
2009-06-30,0.2416666666666667
2009-07-31,0.20833333333333331
2009-08-31,0.2333333333333333
2009-09-30,0.2416666666666667
2009-10-31,0.2333333333333333
2009-11-30,0.2416666666666667
2009-12-31,0.2666666666666667
2010-01-31,0.2416666666666667
2010-02-28,0.2666666666666667
2010-03-31,0.2666666666666667
2010-04-30,0.3
2010-05-31,0.275
2010-06-30,0.475
2010-07-31,0.4666666666666667
2010-08-31,0.2416666666666667
2010-09-30,0.3
2010-10-31,0.5
2010-11-30,0.275
2010-12-31,0.275
2011-01-31,0.325
2011-02-28,0.4714285714285714
2011-03-31,0.44642857142857145
2011-04-30,0.4714285714285714
2011-05-31,0.6852678571428572
2011-06-30,0.6852678571428572
2011-07-31,0.3961038961038961
2011-08-31,0.38474025974025977
2011-09-30,0.3486201298701299
2011-10-31,0.27049512987012986
2011-11-30,0.2591314935064935
2011-12-31,0.2747564935064935
2012-01-31,0.28612012987012986
2012-02-29,0.28612012987012986
2012-03-31,0.20799512987012986
2012-04-30,0.28612012987012986
2012-05-31,0.2571022727272727
2012-06-30,0.30988455988455993
2012-07-31,0.37932900432900435
2012-08-31,0.38943001443001446
2012-09-30,0.37554112554112556
2012-10-31,0.36544011544011545
2012-11-30,0.37932900432900435
2012-12-31,0.44498556998557004
2013-01-31,0.44498556998557004
2013-02-28,0.5088383838383839
2013-03-31,0.7222222222222222
2013-04-30,0.75
2013-05-31,0.5232487922705314
2013-06-30,0.4587862318840579
2013-07-31,0.41724896480331264
2013-08-31,0.38748706004140787
2013-09-30,0.3811680469289165
2013-10-31,0.4463854382332644
2013-11-30,0.7954545454545454
2013-12-31,0.7922077922077922
2014-01-31,0.6056856236959153
2014-02-28,0.5883562406718496
2014-03-31,0.5032612327638056
2014-04-30,0.3724140603535973
2014-05-31,0.3592712069234368
2014-06-30,0.34639891626383906
2014-07-31,0.32152909269118535
2014-08-31,0.2828115602236529
2014-09-30,0.2818710877458734
2014-10-31,0.27524879708627564
2014-11-30,0.277314912788755
2014-12-31,0.28746101668485885
2015-01-31,0.28858665990955873
2015-02-28,0.28781186652112895
2015-03-31,0.27438211445501326
2015-04-30,0.26302497531056707
2015-05-31,0.2658658844014761
2015-06-30,0.26302497531056707
2015-07-31,0.26379327147980663
2015-08-31,0.26379327147980663
2015-09-30,0.2637997686989968
2015-10-31,0.26001188991111807
2015-11-30,0.2764482301574926
2015-12-31,0.2953876240968865
2016-01-31,0.25754327147980666
2016-02-29,0.29314933208586724
2016-03-31,0.2899575731586881
2016-04-30,0.3494493877453783
2016-05-31,0.44178486607731887
2016-06-30,0.3764304092134281
2016-07-31,0.3106836559666748
2016-08-31,0.31440899901984803
2016-09-30,0.3068281364861554
2016-10-31,0.29789956505758397
2016-11-30,0.3077074654904844
2016-12-31,0.29742608020909905
2017-01-31,0.33699078044596914
2017-02-28,0.3152781181083068
2017-03-31,0.47778143633096465
2017-04-30,0.4925271073266356
2017-05-31,0.7482763109531978
2017-06-30,0.7851721391815731
2017-07-31,0.7194257870386577
2017-08-31,0.7952323703924108
2017-09-30,0.7618699023348618
2017-10-31,0.7505231123324115
2017-11-30,0.8734052111410603
2017-12-31,0.9261904761904761
2018-01-31,0.8350856054787505
2018-02-28,0.44326486125881287
2018-03-31,0.35374070709756195
2018-04-30,0.30951097177911696
2018-05-31,0.2882710524242782
2018-06-30,0.24392482965063608
2018-07-31,0.23884001191460869
2018-08-31,0.2332527866398834
2018-09-30,0.2895003864862736
2018-10-31,0.309053957914845
2018-11-30,0.2403666467620961
2018-12-31,0.2429256219650805
2019-01-31,0.24510385367960252
2019-02-28,0.22314436827253648
2019-03-31,0.2192532392402784
2019-04-30,0.23091909354726176
2019-05-31,0.24686379400809128
